"","utm_x","utm_y","poverty","nightlight","water_way","elev","poverty2","soil","HK_positive","HK_examined","TT_positive","TT_examined","Asc_positive","Asc_examined","STH_positive","STH_examined","HK.prev","ASC.prev","TT.prev","prob.none","prob.atleast.one"
"2380",3778780.36810554,-1262441.03401919,0.644879233887515,0.032437689602375,1.17378270626068,1220.70751953125,89.3601578454532,12.4033048212165,0,28,0,28,0,28,0,28,0,0,0,1,0
"2381",3767383.1558116,-1236117.52935047,0.515764450687174,0.0596564374864101,0.761409223079681,1083.16979980469,79.0453445608843,10.0749965484015,0,30,0,30,0,30,0,30,0,0,0,1,0
"2382",3787719.2007648,-1283363.05600933,0.0826985943862736,4.06548166275024,0.493171900510788,1284.07983398438,39.5732269835034,13.5383006024483,0,30,0,30,2,30,2,30,0,6.66666666666667,0,-5.66666666666667,6.66666666666667
"2383",3898369.38311968,-1764042.86941842,0.36262227225274,8.87907695770264,0.0867482200264931,732.757995605469,61.0473399885678,4.58292295459193,0,30,0,30,1,30,1,30,0,3.33333333333333,0,-2.33333333333333,3.33333333333333
"2384",3721244.0020727,-1373607.77678201,0.669577163183128,-0.000809294171631336,7.65418481826782,1278.19812011719,86.3452627034945,9.26983621128593,0,28,2,28,0,28,2,28,0,0,7.14285714285714,-6.14285714285714,7.14285714285714
"2385",3857832.66884604,-1749771.20570265,0.685754176429619,0.0480774976313114,5.80246305465698,634.403381347656,88.1286725671894,6.7486125491273,0,30,0,30,0,30,0,30,0,0,0,1,0
"2386",3777900.87177061,-1595847.93615041,0.612754674987877,-0.00817267410457134,2.70896697044373,1204.72424316406,81.3192575634956,4.75958862745498,0,29,0,29,0,29,0,29,0,0,0,1,0
"2387",3718455.9130306,-1339474.29199824,0.734216023760766,2.79008727375185e-05,2.85658597946167,1200.74841308594,90.2436924527693,7.52292421773306,0,29,0,29,0,29,0,29,0,0,0,1,0
"2388",3870163.43978562,-1687922.08997453,0.679089175711443,0.0152455111965537,4.81771230697632,868.102294921875,87.7460069420785,10.2893743238058,0,29,0,29,1,29,1,29,0,3.44827586206897,0,-2.44827586206897,3.44827586206897
"2389",3735898.32136651,-1566441.5419193,0.662769544936028,0.0196499694138765,2.76681160926819,1143.58935546875,87.191886605434,5.79551858637463,0,28,1,28,0,28,1,28,0,0,3.57142857142857,-2.57142857142857,3.57142857142857
"2390",3930889.12370122,-1792161.83965798,0.606118412423866,0.299838989973068,3.4369010925293,745.631958007812,80.7753548901651,11.4264579413789,0,30,0,30,0,30,0,30,0,0,0,1,0
"2391",3876146.9180755,-1742103.62488217,0.673399003387002,0.106119625270367,2.57747578620911,441.228607177734,87.0320652518465,3.73117423036406,4,30,0,30,4,30,8,30,13.3333333333333,13.3333333333333,0,152.111111111111,-151.111111111111
"2392",3722551.32370104,-1338611.10937059,0.708816611332496,0.187942504882812,6.65896606445312,1244.19653320312,87.1517635624745,7.51913072517606,1,29,0,29,5,29,6,29,3.44827586206897,17.2413793103448,0,39.7633769322235,-38.7633769322235
"2393",3894332.32612632,-1782790.37516945,0.0605554878296326,3.95616436004639,0.376343995332718,966.375061035156,23.9296611442977,12.5900876895039,0,30,0,30,0,30,0,30,0,0,0,1,0
"2394",3906142.24430042,-1769805.66399249,0.452420764757504,0.274046838283539,1.53163468837738,1120.49523925781,74.3037559556826,10.0988816926869,6,30,0,30,1,30,7,30,20,3.33333333333333,0,44.3333333333333,-43.3333333333333
"2395",3787340.31374594,-1286073.29387063,0.244032948368326,1.94532060623169,1.17346286773682,1253.01440429688,56.5730492927526,11.9199450069087,2,30,0,30,1,30,3,30,6.66666666666667,3.33333333333333,0,13.2222222222222,-12.2222222222222
"2396",3741578.50747734,-1275223.41301506,0.678307079023252,-0.00239782338030636,7.94111204147339,1299.00659179688,87.5290481128191,7.93526229610939,0,30,0,30,0,30,0,30,0,0,0,1,0
"2397",3781787.30013459,-1575294.57050801,0.590675466082866,0.12847863137722,3.20365309715271,1180.72497558594,82.0087586170498,4.98302144566574,0,30,0,30,0,30,0,30,0,0,0,1,0
"2398",3879301.73470848,-1712710.90593195,0.752838823142619,0.0272767711430788,0.938269734382629,522.517883300781,91.7847397686314,5.72528513816172,1,30,0,30,4,30,4,30,3.33333333333333,13.3333333333333,0,28.7777777777778,-27.7777777777778
"2399",3717272.252885,-1364780.76477731,0.697886228805622,0.0304587129503489,2.84762239456177,1237.16491699219,87.6358507512858,10.0057718061515,0,30,0,30,0,30,0,30,0,0,0,1,0
"2400",3898891.9969595,-1757633.23450253,0.567892474927967,0.368239194154739,4.31361484527588,700.355834960938,78.2434381433344,5.05513367501995,0,30,0,30,0,30,0,30,0,0,0,1,0
"2401",3773382.32235733,-1287365.59781287,0.581018645181865,0.0220188051462173,2.00286078453064,1340.50573730469,82.4174999547861,12.5486609576504,0,30,0,30,0,30,0,30,0,0,0,1,0
"2402",3897199.22602831,-1778571.88819373,0.049823098798547,11.4678382873535,0.067070834338665,1003.08721923828,20.4877747331249,10.6557478044663,0,30,0,30,0,30,0,30,0,0,0,1,0
"2403",3741290.10094059,-1586545.5298788,0.68145310548759,-0.00737818190827966,2.69968962669373,1129.17736816406,86.4215707748418,4.06548950829285,2,30,0,30,3,30,5,30,6.66666666666667,10,0,51,-50
"2404",3764640.13223897,-1478602.75981894,0.429154281700764,0.00453126104548573,5.18281602859497,1128.4091796875,69.6018159783714,7.32147239264645,0,30,0,30,0,30,0,30,0,0,0,1,0
"2405",3760155.88258719,-1575863.75216574,0.225352805267905,17.7627067565918,0.952375531196594,1076.02758789062,46.6806637983293,3.38903234589838,0,24,0,24,0,24,0,24,0,0,0,1,0
"2406",3872900.98643931,-1642453.31979489,0.801973843779922,0.000557775259949267,5.02519273757935,612.418823242188,95.0918328057906,8.19510578210296,0,30,0,30,0,30,0,30,0,0,0,1,0
