"","ï..Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"6281","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Sakaba","36799","Sakaba","36799","Sakaba","15682","5.5965223999999996","11.0654717","1",NA,NA,"2014",NA,NA,"48","1",0.020833333,NA,NA,"48","0",0,NA,NA,"48","0",0,NA,NA,"48","1",0.020833333,0.020833333,1,0,11736,"","ANGA0379636799"
"6291","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Shanga","36800","Shanga","36800","Sakace","15706","4.7691585999999999","10.9886838","1",NA,NA,"2014",NA,NA,"50","2",0.04,NA,NA,"50","3",0.06,NA,NA,"50","0",0,NA,NA,"50","5",0.1,0.092075472,1,0,11740,"","ANGA0379636800"
"6301","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Osun","3804","Ejigbo","36947","Ejigbo","36947","Sakasaka","14373","4.6646643330000002","7.9051140000000002","3",NA,NA,"2014",NA,NA,"51","1",0.019607843,NA,NA,"51","7",0.137254902,NA,NA,"51","0",0,NA,NA,"51","8",0.156862745,0.145444785,1,0,12486,"","ANGA0380436947"
"6312","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Bauchi","3779","Zaki","36446","Zaki","36446","Sakwa","15997","10.2912765","12.126067000000001","1",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","0",0,0,1,0,10662,"","ANGA0377936446"
"6321","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Koko/Besse","36796","Koko/Besse","36796","Samanaji","15122","4.4645435000000004","11.1610665","3",NA,NA,"2014",NA,NA,"50","2",0.04,NA,NA,"50","4",0.08,NA,NA,"50","0",0,NA,NA,"50","6",0.12,0.110188679,1,0,11722,"","ANGA0379636796"
"6331","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Maiyama","36797","Maiyama","36797","Sambawa","15267","4.266667","12.283333000000001","1",NA,NA,"2014",NA,NA,"52","2",0.038461538,NA,NA,"52","0",0,NA,NA,"52","0",0,NA,NA,"52","2",0.038461538,0.038461538,1,0,11727,"","ANGA0379636797"
"6341","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Lagos","3799","Surulere","36861","Surulere","36861","Sanyaolu","15781","3.3580800000000002","6.5517843999999998","1",NA,NA,"2014",NA,NA,"51","1",0.019607843,NA,NA,"51","6",0.117647059,NA,NA,"51","1",0.019607843,NA,NA,"51","7",0.137254902,0.143311225,1,0,12150,"","ANGA0379936861"
"6351","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Lagos","3799","Alimosho","36844","Alimosho","36844","Sasa","13929","3.2961100000000001","6.5744461999999997","1",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","5",0.1,NA,NA,"50","0",0,NA,NA,"50","6",0.12,0.1,1,0,12047,"","ANGA0379936844"
"6361","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Argungu","36786","Argungu","36786","Sauwa","13991","4.3331010000000001","12.613344","3",NA,NA,"2014",NA,NA,"50","0",0,NA,NA,"50","2",0.04,NA,NA,"50","1",0.02,NA,NA,"50","3",0.06,0.055849057,1,0,11670,"","ANGA0379636786"
"6371","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Shanga","36800","Shanga","36800","Sawashi","15707","4.7070616000000003","11.1024537","1",NA,NA,"2014",NA,NA,"50","1",0.02,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","1",0.02,0.02,1,2,11743,"","ANGA0379636800"
