,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
171,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,13,0.26,50,0,0,50,1,0.02,50,13,0.26,0.259245283
172,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,9,0.18,50,0,0,50,0,0,50,9,0.18,0.18
173,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,7,0.14,50,0,0,50,0,0,50,7,0.14,0.14
174,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,46,6,0.130434783,46,0,0,46,0,0,46,6,0.130434783,0.130434783
175,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,5,0.1,50,0,0,50,0,0,50,5,0.1,0.1
176,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,3,0.06,50,0,0,50,0,0,50,3,0.06,0.06
177,Benin,BEN,BJ,Boukoumb̩,3217,1.060183,10.17373,2017,124,12,0.096774194,124,2,0.016129032,124,0,0,124,14,0.112903226,0.105039954
178,Benin,BEN,BJ,Boukoumb̩,3217,1.060183,10.17373,2017,125,12,0.096,125,2,0.016,125,0,0,125,14,0.112,0.104211321
179,Benin,BEN,BJ,Boukoumb̩,3217,1.060183,10.17373,2017,123,5,0.040650407,123,0,0,123,0,0,123,5,0.040650407,0.040650407
180,Benin,BEN,BJ,Tangui̩ta,3225,1.119836,10.52666,2017,93,1,0.010752688,93,0,0,93,0,0,93,1,0.010752688,0.010752688
181,Benin,BEN,BJ,Tangui̩ta,3225,1.119836,10.52666,2017,93,0,0,93,0,0,93,0,0,93,0,0,0
182,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,46,4,0.086956522,46,0,0,46,0,0,46,4,0.086956522,0.086956522
183,Benin,BEN,BJ,Materi,3221,0.8969111,10.88658,2017,48,4,0.083333333,48,0,0,48,0,0,48,4,0.083333333,0.083333333
